# Re,f
31310,0.0236400000000000013
41440,0.0221599999999999991
56360,0.0206099999999999998
73970,0.0192900000000000016
98460,0.0181499999999999995
145600,0.0166600000000000012
184800,0.0159399999999999993
229600,0.0152899999999999998
308500,0.0146099999999999997
408100,0.0138399999999999999
537800,0.01324
750700,0.0124899999999999994
1024000,0.0118300000000000002
1342000,0.0113100000000000006
1791000,0.0107899999999999992
2352000,0.0102799999999999992
3109000,0.00988999999999999949
4438000,0.00940999999999999996
6103000,0.00897000000000000054
7757000,0.00861999999999999919
10310000,0.00825000000000000039
13680000,0.00797999999999999925
18300000,0.00766999999999999973
24130000,0.00740000000000000033
30150000,0.0071999999999999998
35540000,0.00708000000000000036
